time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-09-14 21:00:00,4.25237,4.25567,4.24622,4.25109,234,375,0,2025-09-14,Sunday
2025-09-14 22:00:00,4.25109,4.2540700000000005,4.25109,4.25382,232,306,0,2025-09-14,Sunday
2025-09-14 23:00:00,4.25382,4.25382,4.25079,4.25239,247,306,0,2025-09-14,Sunday
2025-09-15 00:00:00,4.25237,4.25362,4.25099,4.25252,304,311,0,2025-09-15,Monday
2025-09-15 01:00:00,4.25252,4.25272,4.25117,4.25252,292,346,0,2025-09-15,Monday
2025-09-15 02:00:00,4.25161,4.25322,4.25063,4.2507,703,335,0,2025-09-15,Monday
2025-09-15 03:00:00,4.25071,4.25432,4.25058,4.2540700000000005,561,256,0,2025-09-15,Monday
2025-09-15 04:00:00,4.2540700000000005,4.25438,4.25118,4.25402,335,256,0,2025-09-15,Monday
2025-09-15 05:00:00,4.25402,4.2540700000000005,4.25106,4.25202,1306,248,0,2025-09-15,Monday
2025-09-15 06:00:00,4.25202,4.25212,4.24632,4.24724,1597,240,0,2025-09-15,Monday
2025-09-15 07:00:00,4.24651,4.24797,4.24262,4.24602,1340,240,0,2025-09-15,Monday
2025-09-15 08:00:00,4.24602,4.24672,4.24472,4.24652,827,240,0,2025-09-15,Monday
2025-09-15 09:00:00,4.24652,4.24812,4.24492,4.24717,1052,240,0,2025-09-15,Monday
2025-09-15 10:00:00,4.24719,4.24989,4.24672,4.24882,867,240,0,2025-09-15,Monday
2025-09-15 11:00:00,4.24902,4.24972,4.24582,4.24722,1080,240,0,2025-09-15,Monday
2025-09-15 12:00:00,4.24722,4.25122,4.24702,4.24882,767,240,0,2025-09-15,Monday
2025-09-15 13:00:00,4.24902,4.25072,4.24702,4.24812,955,240,0,2025-09-15,Monday
2025-09-15 14:00:00,4.24812,4.24892,4.24652,4.24672,657,240,0,2025-09-15,Monday
2025-09-15 15:00:00,4.24672,4.24842,4.24532,4.24807,609,256,0,2025-09-15,Monday
2025-09-15 16:00:00,4.2482,4.24895,4.24761,4.24772,338,240,0,2025-09-15,Monday
2025-09-15 17:00:00,4.24772,4.24772,4.24635,4.24752,160,286,0,2025-09-15,Monday
2025-09-15 18:00:00,4.24752,4.2477,4.2469,4.2477,112,305,0,2025-09-15,Monday
2025-09-15 19:00:00,4.2477,4.24795,4.24623,4.24638,495,305,0,2025-09-15,Monday
2025-09-15 20:00:00,4.24565,4.24657,4.24436,4.24627,52,435,0,2025-09-15,Monday
2025-09-15 21:00:00,4.24627,4.25027,4.24377,4.24687,175,285,0,2025-09-15,Monday
2025-09-15 22:00:00,4.24677,4.24712,4.24413,4.24606,690,272,0,2025-09-15,Monday
2025-09-15 23:00:00,4.24582,4.24607,4.24283,4.24557,1196,261,0,2025-09-15,Monday
2025-09-16 00:00:00,4.24557,4.24582,4.24268,4.24557,326,287,0,2025-09-16,Tuesday
2025-09-16 01:00:00,4.24557,4.24582,4.24292,4.24362,706,259,0,2025-09-16,Tuesday
2025-09-16 02:00:00,4.24362,4.24706,4.24288,4.24682,374,262,0,2025-09-16,Tuesday
2025-09-16 03:00:00,4.24682,4.24732,4.24408,4.24732,1075,240,0,2025-09-16,Tuesday
2025-09-16 04:00:00,4.24732,4.24732,4.24471,4.24712,161,240,0,2025-09-16,Tuesday
2025-09-16 05:00:00,4.2469,4.24962,4.24492,4.24792,1004,240,0,2025-09-16,Tuesday
2025-09-16 06:00:00,4.24792,4.25412,4.24792,4.25052,1740,240,0,2025-09-16,Tuesday
2025-09-16 07:00:00,4.25052,4.25242,4.24872,4.24902,1276,249,0,2025-09-16,Tuesday
2025-09-16 08:00:00,4.24912,4.25082,4.24732,4.24832,1334,240,0,2025-09-16,Tuesday
2025-09-16 09:00:00,4.24832,4.25132,4.24802,4.24952,792,240,0,2025-09-16,Tuesday
2025-09-16 10:00:00,4.24952,4.25042,4.24762,4.24782,1232,240,0,2025-09-16,Tuesday
2025-09-16 11:00:00,4.24782,4.25042,4.24692,4.24892,1544,240,0,2025-09-16,Tuesday
2025-09-16 12:00:00,4.24882,4.25162,4.24812,4.24992,1458,240,0,2025-09-16,Tuesday
2025-09-16 13:00:00,4.25002,4.25252,4.24922,4.25182,1564,240,0,2025-09-16,Tuesday
